18/03/2024,1:18:33 PM,19.3,18.9, -OL, -OL
18/03/2024,1:18:43 PM,20.3,19.3, -OL, -OL
18/03/2024,1:18:53 PM,21.6,19.4, -OL, -OL
18/03/2024,1:19:03 PM,22.6,19.7, -OL, -OL
18/03/2024,1:19:13 PM,23.6,19.7, -OL, -OL
18/03/2024,1:19:23 PM,24.4,19.8, -OL, -OL
18/03/2024,1:19:33 PM,25.2,19.8, -OL, -OL
18/03/2024,1:19:43 PM,25.9,19.9, -OL, -OL
18/03/2024,1:19:53 PM,26.5,19.9, -OL, -OL
18/03/2024,1:20:03 PM,27.0,20.1, -OL, -OL
18/03/2024,1:20:13 PM,27.4,20.1, -OL, -OL
18/03/2024,1:20:23 PM,27.9,20.1, -OL, -OL
18/03/2024,1:20:33 PM,28.2,20.1, -OL, -OL
18/03/2024,1:20:43 PM,28.6,20.1, -OL, -OL
18/03/2024,1:20:53 PM,28.9,20.2, -OL, -OL
18/03/2024,1:21:03 PM,29.2,20.2, -OL, -OL
18/03/2024,1:21:13 PM,29.4,20.2, -OL, -OL
18/03/2024,1:21:23 PM,29.7,20.2, -OL, -OL
18/03/2024,1:21:33 PM,29.8,20.2, -OL, -OL
18/03/2024,1:21:43 PM,30.2,20.2, -OL, -OL
18/03/2024,1:21:53 PM,30.3,20.2, -OL, -OL
18/03/2024,1:22:03 PM,30.4,20.2, -OL, -OL
18/03/2024,1:22:13 PM,30.7,20.2, -OL, -OL
18/03/2024,1:22:23 PM,30.8,20.2, -OL, -OL
18/03/2024,1:22:33 PM,30.9,20.2, -OL, -OL
18/03/2024,1:22:43 PM,31.1,20.2, -OL, -OL
18/03/2024,1:22:53 PM,31.2,20.2, -OL, -OL
18/03/2024,1:23:03 PM,31.3,20.3, -OL, -OL
18/03/2024,1:23:13 PM,31.3,20.3, -OL, -OL
18/03/2024,1:23:23 PM,31.4,20.3, -OL, -OL
18/03/2024,1:23:33 PM,31.6,20.3, -OL, -OL
18/03/2024,1:23:43 PM,31.7,20.3, -OL, -OL
18/03/2024,1:23:53 PM,31.7,20.3, -OL, -OL
18/03/2024,1:24:03 PM,31.8,20.3, -OL, -OL
18/03/2024,1:24:13 PM,31.9,20.3, -OL, -OL
18/03/2024,1:24:23 PM,31.9,20.3, -OL, -OL
18/03/2024,1:24:33 PM,32.1,20.3, -OL, -OL
18/03/2024,1:24:43 PM,32.1,20.3, -OL, -OL
18/03/2024,1:24:53 PM,32.2,20.3, -OL, -OL
18/03/2024,1:25:03 PM,32.3,20.3, -OL, -OL
18/03/2024,1:25:13 PM,32.3,20.3, -OL, -OL
18/03/2024,1:25:23 PM,32.3,20.3, -OL, -OL
18/03/2024,1:25:33 PM,32.4,20.3, -OL, -OL
18/03/2024,1:25:43 PM,32.4,20.3, -OL, -OL
18/03/2024,1:25:53 PM,32.5,20.4, -OL, -OL
18/03/2024,1:26:03 PM,32.5,20.4, -OL, -OL
18/03/2024,1:26:13 PM,32.5,20.4, -OL, -OL
18/03/2024,1:26:23 PM,32.6,20.4, -OL, -OL
18/03/2024,1:26:33 PM,32.6,20.4, -OL, -OL
18/03/2024,1:26:43 PM,32.7,20.4, -OL, -OL
18/03/2024,1:26:53 PM,32.7,20.4, -OL, -OL
18/03/2024,1:27:03 PM,32.7,20.4, -OL, -OL
18/03/2024,1:27:13 PM,32.8,20.4, -OL, -OL
18/03/2024,1:27:23 PM,32.8,20.4, -OL, -OL
18/03/2024,1:27:33 PM,32.8,20.4, -OL, -OL
18/03/2024,1:27:43 PM,33.0,20.4, -OL, -OL
18/03/2024,1:27:53 PM,33.0,20.4, -OL, -OL
18/03/2024,1:28:03 PM,33.0,20.4, -OL, -OL
18/03/2024,1:28:13 PM,33.0,20.4, -OL, -OL
18/03/2024,1:28:23 PM,33.0,20.4, -OL, -OL
