13/03/2024,1:20:26 PM,19.7,19.3, -OL, -OL
13/03/2024,1:20:36 PM,20.5,19.4, -OL, -OL
13/03/2024,1:20:46 PM,21.6,19.6, -OL, -OL
13/03/2024,1:20:56 PM,22.4,19.6, -OL, -OL
13/03/2024,1:21:06 PM,23.3,19.7, -OL, -OL
13/03/2024,1:21:16 PM,23.8,19.7, -OL, -OL
13/03/2024,1:21:26 PM,24.3,19.7, -OL, -OL
13/03/2024,1:21:36 PM,24.8,19.7, -OL, -OL
13/03/2024,1:21:46 PM,25.3,19.7, -OL, -OL
13/03/2024,1:21:56 PM,25.6,19.7, -OL, -OL
13/03/2024,1:22:06 PM,25.9,19.7, -OL, -OL
13/03/2024,1:22:16 PM,26.3,19.7, -OL, -OL
13/03/2024,1:22:26 PM,26.5,19.6, -OL, -OL
13/03/2024,1:22:36 PM,26.8,19.6, -OL, -OL
13/03/2024,1:22:46 PM,27.1,19.4, -OL, -OL
13/03/2024,1:22:56 PM,27.2,19.4, -OL, -OL
13/03/2024,1:23:06 PM,27.3,19.3, -OL, -OL
13/03/2024,1:23:16 PM,27.6,19.3, -OL, -OL
13/03/2024,1:23:26 PM,27.7,19.2, -OL, -OL
13/03/2024,1:23:36 PM,27.9,19.2, -OL, -OL
13/03/2024,1:23:46 PM,28,19.1, -OL, -OL
13/03/2024,1:23:56 PM,28.1,19.1, -OL, -OL
13/03/2024,1:24:06 PM,28.1,18.9, -OL, -OL
13/03/2024,1:24:16 PM,28.2,18.9, -OL, -OL
13/03/2024,1:24:26 PM,28.4,18.8, -OL, -OL
13/03/2024,1:24:36 PM,28.4,18.8, -OL, -OL
13/03/2024,1:24:46 PM,28.5,18.7, -OL, -OL
13/03/2024,1:24:56 PM,28.5,18.6, -OL, -OL
13/03/2024,1:25:06 PM,28.6,18.6, -OL, -OL
13/03/2024,1:25:16 PM,28.6,18.4, -OL, -OL
13/03/2024,1:25:26 PM,28.6,18.4, -OL, -OL
13/03/2024,1:25:36 PM,28.7,18.4, -OL, -OL
13/03/2024,1:25:46 PM,28.7,18.4, -OL, -OL
13/03/2024,1:25:56 PM,28.8,18.6, -OL, -OL
13/03/2024,1:26:06 PM,28.8,18.6, -OL, -OL
13/03/2024,1:26:16 PM,28.9,18.7, -OL, -OL
13/03/2024,1:26:26 PM,28.9,18.8, -OL, -OL
13/03/2024,1:26:36 PM,29.1,19, -OL, -OL
13/03/2024,1:26:46 PM,29.1,19.1, -OL, -OL
13/03/2024,1:26:56 PM,29.2,19.4, -OL, -OL
13/03/2024,1:27:06 PM,29.3,19.5, -OL, -OL
13/03/2024,1:27:16 PM,29.3,19.7, -OL, -OL
13/03/2024,1:27:26 PM,29.4,19.8, -OL, -OL
13/03/2024,1:27:36 PM,29.6,19.9, -OL, -OL
13/03/2024,1:27:46 PM,29.6,20, -OL, -OL
13/03/2024,1:27:56 PM,29.7,20.2, -OL, -OL
13/03/2024,1:28:06 PM,29.8,20.2, -OL, -OL
13/03/2024,1:28:16 PM,29.8,20.3, -OL, -OL
13/03/2024,1:28:26 PM,29.9,20.4, -OL, -OL
13/03/2024,1:28:36 PM,29.9,20.4, -OL, -OL
13/03/2024,1:28:46 PM,30.1,20.4, -OL, -OL
13/03/2024,1:28:56 PM,30.1,20.5, -OL, -OL
13/03/2024,1:29:06 PM,30.2,20.5, -OL, -OL
13/03/2024,1:29:16 PM,30.2,20.5, -OL, -OL
13/03/2024,1:29:26 PM,30.2,20.5, -OL, -OL
13/03/2024,1:29:36 PM,30.3,20.5, -OL, -OL
13/03/2024,1:29:46 PM,30.3,20.5, -OL, -OL
13/03/2024,1:29:56 PM,30.3,20.4, -OL, -OL
13/03/2024,1:30:06 PM,30.3,20.4, -OL, -OL
13/03/2024,1:30:16 PM,30.3,20.3, -OL, -OL
