4/3/24,5:30:28 PM,20.1,19.7, -OL, -OL
4/3/24,5:30:38 PM,20.8,20.3, -OL, -OL
4/3/24,5:30:48 PM,21.8,20.6, -OL, -OL
4/3/24,5:30:58 PM,23,20.9, -OL, -OL
4/3/24,5:31:08 PM,24,21.1, -OL, -OL
4/3/24,5:31:18 PM,24.9,21.2, -OL, -OL
4/3/24,5:31:28 PM,25.8,21.2, -OL, -OL
4/3/24,5:31:38 PM,26.3,21.3, -OL, -OL
4/3/24,5:31:48 PM,27.1,21.3, -OL, -OL
4/3/24,5:31:58 PM,27.6,21.3, -OL, -OL
4/3/24,5:32:08 PM,27.9,21.3, -OL, -OL
4/3/24,5:32:18 PM,28.4,21.3, -OL, -OL
4/3/24,5:32:28 PM,28.7,21.1, -OL, -OL
4/3/24,5:32:38 PM,29,21.1, -OL, -OL
4/3/24,5:32:48 PM,29.2,21.1, -OL, -OL
4/3/24,5:32:58 PM,29.4,21, -OL, -OL
4/3/24,5:33:08 PM,29.6,21, -OL, -OL
4/3/24,5:33:18 PM,29.7,21, -OL, -OL
4/3/24,5:33:28 PM,29.8,20.9, -OL, -OL
4/3/24,5:33:38 PM,29.9,20.9, -OL, -OL
4/3/24,5:33:48 PM,30.1,20.8, -OL, -OL
4/3/24,5:33:58 PM,30.2,20.8, -OL, -OL
4/3/24,5:34:08 PM,30.2,20.7, -OL, -OL
4/3/24,5:34:18 PM,30.3,20.6, -OL, -OL
4/3/24,5:34:28 PM,30.3,20.6, -OL, -OL
4/3/24,5:34:38 PM,30.3,20.4, -OL, -OL
4/3/24,5:34:48 PM,30.4,20.4, -OL, -OL
4/3/24,5:34:58 PM,30.6,20.4, -OL, -OL
4/3/24,5:35:08 PM,30.6,20.4, -OL, -OL
4/3/24,5:35:18 PM,30.6,20.3, -OL, -OL
4/3/24,5:35:28 PM,30.6,20.3, -OL, -OL
4/3/24,5:35:38 PM,30.7,20.3, -OL, -OL
4/3/24,5:35:48 PM,30.7,20.3, -OL, -OL
4/3/24,5:35:58 PM,30.7,20.3, -OL, -OL
4/3/24,5:36:08 PM,30.7,20.3, -OL, -OL
4/3/24,5:36:18 PM,30.7,20.3, -OL, -OL
4/3/24,5:36:28 PM,30.8,20.3, -OL, -OL
4/3/24,5:36:38 PM,30.9,20.3, -OL, -OL
4/3/24,5:36:48 PM,30.9,20.3, -OL, -OL
4/3/24,5:36:58 PM,31.1,20.3, -OL, -OL
4/3/24,5:37:08 PM,31.2,20.3, -OL, -OL
4/3/24,5:37:18 PM,31.2,20.3, -OL, -OL
4/3/24,5:37:28 PM,31.2,20.3, -OL, -OL
4/3/24,5:37:38 PM,31.3,20.3, -OL, -OL
4/3/24,5:37:48 PM,31.3,20.3, -OL, -OL
4/3/24,5:37:58 PM,31.4,20.3, -OL, -OL
4/3/24,5:38:08 PM,31.4,20.3, -OL, -OL
4/3/24,5:38:18 PM,31.4,20.3, -OL, -OL
4/3/24,5:38:28 PM,31.4,20.3, -OL, -OL
4/3/24,5:38:38 PM,31.5,20.3, -OL, -OL
4/3/24,5:38:48 PM,31.5,20.3, -OL, -OL
4/3/24,5:38:58 PM,31.5,20.3, -OL, -OL
4/3/24,5:39:08 PM,31.5,20.3, -OL, -OL
4/3/24,5:39:18 PM,31.5,20.3, -OL, -OL
4/3/24,5:39:28 PM,31.5,20.3, -OL, -OL
4/3/24,5:39:38 PM,31.5,20.3, -OL, -OL
4/3/24,5:39:48 PM,31.5,20.3, -OL, -OL
4/3/24,5:39:58 PM,31.5,20.3, -OL, -OL
4/3/24,5:40:08 PM,31.5,20.3, -OL, -OL
4/3/24,5:40:18 PM,31.5,20.3, -OL, -OL
