18/03/2024,3:53:52 PM,19.9,19.3, -OL, -OL
18/03/2024,3:54:02 PM,21.1,19.4, -OL, -OL
18/03/2024,3:54:12 PM,22.1,19.6, -OL, -OL
18/03/2024,3:54:22 PM,22.9,19.7, -OL, -OL
18/03/2024,3:54:32 PM,23.4,19.8, -OL, -OL
18/03/2024,3:54:42 PM,24.0,19.8, -OL, -OL
18/03/2024,3:54:52 PM,24.5,19.9, -OL, -OL
18/03/2024,3:55:02 PM,24.8,20.1, -OL, -OL
18/03/2024,3:55:12 PM,25.2,20.1, -OL, -OL
18/03/2024,3:55:22 PM,25.6,20.2, -OL, -OL
18/03/2024,3:55:32 PM,25.8,20.2, -OL, -OL
18/03/2024,3:55:42 PM,26.1,20.3, -OL, -OL
18/03/2024,3:55:52 PM,26.3,20.3, -OL, -OL
18/03/2024,3:56:02 PM,26.6,20.3, -OL, -OL
18/03/2024,3:56:12 PM,26.7,20.4, -OL, -OL
18/03/2024,3:56:22 PM,26.9,20.4, -OL, -OL
18/03/2024,3:56:32 PM,27.1,20.5, -OL, -OL
18/03/2024,3:56:42 PM,27.2,20.5, -OL, -OL
18/03/2024,3:56:52 PM,27.3,20.5, -OL, -OL
18/03/2024,3:57:02 PM,27.5,20.6, -OL, -OL
18/03/2024,3:57:12 PM,27.6,20.6, -OL, -OL
18/03/2024,3:57:22 PM,27.7,20.6, -OL, -OL
18/03/2024,3:57:32 PM,27.8,20.6, -OL, -OL
18/03/2024,3:57:42 PM,28.0,20.6, -OL, -OL
18/03/2024,3:57:52 PM,28.1,20.6, -OL, -OL
18/03/2024,3:58:02 PM,28.1,20.6, -OL, -OL
18/03/2024,3:58:12 PM,28.2,20.6, -OL, -OL
18/03/2024,3:58:22 PM,28.2,20.6, -OL, -OL
18/03/2024,3:58:32 PM,28.3,20.5, -OL, -OL
18/03/2024,3:58:42 PM,28.3,20.5, -OL, -OL
18/03/2024,3:58:52 PM,28.4,20.4, -OL, -OL
18/03/2024,3:59:02 PM,28.4,20.4, -OL, -OL
18/03/2024,3:59:12 PM,28.4,20.4, -OL, -OL
18/03/2024,3:59:22 PM,28.4,20.3, -OL, -OL
18/03/2024,3:59:32 PM,28.4,20.2, -OL, -OL
18/03/2024,3:59:42 PM,28.6,20.2, -OL, -OL
18/03/2024,3:59:52 PM,28.6,20.1, -OL, -OL
18/03/2024,4:00:02 PM,28.6,20.1, -OL, -OL
18/03/2024,4:00:12 PM,28.6,19.9, -OL, -OL
18/03/2024,4:00:22 PM,28.6,19.9, -OL, -OL
18/03/2024,4:00:32 PM,28.6,19.9, -OL, -OL
18/03/2024,4:00:42 PM,28.6,19.8, -OL, -OL
18/03/2024,4:00:52 PM,28.6,19.8, -OL, -OL
18/03/2024,4:01:02 PM,28.6,19.8, -OL, -OL
18/03/2024,4:01:12 PM,28.7,19.8, -OL, -OL
18/03/2024,4:01:22 PM,28.7,19.8, -OL, -OL
18/03/2024,4:01:32 PM,28.7,19.8, -OL, -OL
18/03/2024,4:01:42 PM,28.7,19.8, -OL, -OL
18/03/2024,4:01:52 PM,28.7,19.8, -OL, -OL
18/03/2024,4:02:02 PM,28.7,19.8, -OL, -OL
18/03/2024,4:02:12 PM,28.7,19.8, -OL, -OL
18/03/2024,4:02:22 PM,28.7,19.8, -OL, -OL
18/03/2024,4:02:32 PM,28.8,19.8, -OL, -OL
18/03/2024,4:02:42 PM,28.8,19.8, -OL, -OL
18/03/2024,4:02:52 PM,28.8,19.8, -OL, -OL
18/03/2024,4:03:02 PM,28.8,19.8, -OL, -OL
18/03/2024,4:03:12 PM,28.8,19.8, -OL, -OL
18/03/2024,4:03:22 PM,28.8,19.8, -OL, -OL
18/03/2024,4:03:32 PM,28.8,19.8, -OL, -OL
18/03/2024,4:03:42 PM,28.9,19.8, -OL, -OL
