21/03/2024,3:34:05 PM,19.3,19.4, -OL, -OL
21/03/2024,3:34:15 PM,19.5,19.4, -OL, -OL
21/03/2024,3:34:25 PM,19.8,19.3, -OL, -OL
21/03/2024,3:34:35 PM,20.1,19.3, -OL, -OL
21/03/2024,3:34:45 PM,20.4,19.2, -OL, -OL
21/03/2024,3:34:55 PM,20.7,19.2, -OL, -OL
21/03/2024,3:35:05 PM,20.8,19.2, -OL, -OL
21/03/2024,3:35:15 PM,21.1,19.1, -OL, -OL
21/03/2024,3:35:25 PM,21.2,19.1, -OL, -OL
21/03/2024,3:35:35 PM,21.3,18.9, -OL, -OL
21/03/2024,3:35:45 PM,21.6,18.9, -OL, -OL
21/03/2024,3:35:55 PM,21.7,18.8, -OL, -OL
21/03/2024,3:36:05 PM,21.8,18.8, -OL, -OL
21/03/2024,3:36:15 PM,22.0,18.7, -OL, -OL
21/03/2024,3:36:25 PM,22.1,18.7, -OL, -OL
21/03/2024,3:36:35 PM,22.2,18.7, -OL, -OL
21/03/2024,3:36:45 PM,22.4,18.7, -OL, -OL
21/03/2024,3:36:55 PM,22.4,18.7, -OL, -OL
21/03/2024,3:37:05 PM,22.5,18.7, -OL, -OL
21/03/2024,3:37:15 PM,22.6,18.7, -OL, -OL
21/03/2024,3:37:25 PM,22.7,18.7, -OL, -OL
21/03/2024,3:37:35 PM,22.9,18.8, -OL, -OL
21/03/2024,3:37:45 PM,23.0,18.8, -OL, -OL
21/03/2024,3:37:55 PM,23.1,18.8, -OL, -OL
21/03/2024,3:38:05 PM,23.2,18.8, -OL, -OL
21/03/2024,3:38:15 PM,23.2,18.8, -OL, -OL
21/03/2024,3:38:25 PM,23.4,18.9, -OL, -OL
21/03/2024,3:38:35 PM,23.5,18.9, -OL, -OL
21/03/2024,3:38:45 PM,23.5,18.9, -OL, -OL
21/03/2024,3:38:55 PM,23.6,18.9, -OL, -OL
21/03/2024,3:39:05 PM,23.7,18.9, -OL, -OL
21/03/2024,3:39:15 PM,23.8,18.9, -OL, -OL
21/03/2024,3:39:25 PM,23.8,19.0, -OL, -OL
21/03/2024,3:39:35 PM,24.0,19.0, -OL, -OL
21/03/2024,3:39:45 PM,24.1,19.0, -OL, -OL
21/03/2024,3:39:55 PM,24.1,19.0, -OL, -OL
21/03/2024,3:40:05 PM,24.2,19.0, -OL, -OL
21/03/2024,3:40:15 PM,24.2,19.0, -OL, -OL
21/03/2024,3:40:25 PM,24.3,19.0, -OL, -OL
21/03/2024,3:40:35 PM,24.4,19.0, -OL, -OL
21/03/2024,3:40:45 PM,24.4,19.0, -OL, -OL
21/03/2024,3:40:55 PM,24.6,19.0, -OL, -OL
21/03/2024,3:41:05 PM,24.6,19.2, -OL, -OL
21/03/2024,3:41:15 PM,24.7,19.2, -OL, -OL
21/03/2024,3:41:25 PM,24.7,19.2, -OL, -OL
21/03/2024,3:41:35 PM,24.8,19.2, -OL, -OL
21/03/2024,3:41:45 PM,24.8,19.2, -OL, -OL
21/03/2024,3:41:55 PM,24.8,19.2, -OL, -OL
21/03/2024,3:42:05 PM,24.9,19.2, -OL, -OL
21/03/2024,3:42:15 PM,24.9,19.2, -OL, -OL
21/03/2024,3:42:25 PM,25.1,19.2, -OL, -OL
21/03/2024,3:42:35 PM,25.1,19.2, -OL, -OL
21/03/2024,3:42:45 PM,25.2,19.3, -OL, -OL
21/03/2024,3:42:55 PM,25.2,19.3, -OL, -OL
21/03/2024,3:43:05 PM,25.2,19.3, -OL, -OL
21/03/2024,3:43:15 PM,25.3,19.3, -OL, -OL
21/03/2024,3:43:25 PM,25.3,19.3, -OL, -OL
21/03/2024,3:43:35 PM,25.4,19.3, -OL, -OL
21/03/2024,3:43:45 PM,25.4,19.3, -OL, -OL
21/03/2024,3:43:55 PM,25.4,19.3, -OL, -OL
