5/3/24,2:00:27 PM,18.8,19.3, -OL, -OL
5/3/24,2:00:37 PM,19.2,19.5, -OL, -OL
5/3/24,2:00:47 PM,20.1,19.8, -OL, -OL
5/3/24,2:00:57 PM,20.9,19.8, -OL, -OL
5/3/24,2:01:07 PM,22,19.9, -OL, -OL
5/3/24,2:01:17 PM,22.7,20, -OL, -OL
5/3/24,2:01:27 PM,23.3,20, -OL, -OL
5/3/24,2:01:37 PM,23.9,20, -OL, -OL
5/3/24,2:01:47 PM,24.6,20, -OL, -OL
5/3/24,2:01:57 PM,25,20, -OL, -OL
5/3/24,2:02:07 PM,25.5,20, -OL, -OL
5/3/24,2:02:17 PM,25.8,20, -OL, -OL
5/3/24,2:02:27 PM,26.3,19.9, -OL, -OL
5/3/24,2:02:37 PM,26.6,19.9, -OL, -OL
5/3/24,2:02:47 PM,26.9,19.9, -OL, -OL
5/3/24,2:02:57 PM,27.2,19.7, -OL, -OL
5/3/24,2:03:07 PM,27.5,19.7, -OL, -OL
5/3/24,2:03:17 PM,27.7,19.6, -OL, -OL
5/3/24,2:03:27 PM,28,19.6, -OL, -OL
5/3/24,2:03:37 PM,28.2,19.6, -OL, -OL
5/3/24,2:03:47 PM,28.4,19.5, -OL, -OL
5/3/24,2:03:57 PM,28.6,19.5, -OL, -OL
5/3/24,2:04:07 PM,28.7,19.5, -OL, -OL
5/3/24,2:04:17 PM,28.9,19.5, -OL, -OL
5/3/24,2:04:27 PM,29.1,19.5, -OL, -OL
5/3/24,2:04:37 PM,29.2,19.5, -OL, -OL
5/3/24,2:04:47 PM,29.3,19.6, -OL, -OL
5/3/24,2:04:57 PM,29.4,19.6, -OL, -OL
5/3/24,2:05:07 PM,29.6,19.7, -OL, -OL
5/3/24,2:05:17 PM,29.7,19.7, -OL, -OL
5/3/24,2:05:27 PM,29.8,19.8, -OL, -OL
5/3/24,2:05:37 PM,29.9,19.8, -OL, -OL
5/3/24,2:05:47 PM,30.1,19.8, -OL, -OL
5/3/24,2:05:57 PM,30.2,20, -OL, -OL
5/3/24,2:06:07 PM,30.3,20, -OL, -OL
5/3/24,2:06:17 PM,30.3,20, -OL, -OL
5/3/24,2:06:27 PM,30.4,20.1, -OL, -OL
5/3/24,2:06:37 PM,30.5,20.1, -OL, -OL
5/3/24,2:06:47 PM,30.5,20.1, -OL, -OL
5/3/24,2:06:57 PM,30.7,20.1, -OL, -OL
5/3/24,2:07:07 PM,30.8,20.1, -OL, -OL
5/3/24,2:07:17 PM,30.8,20.1, -OL, -OL
5/3/24,2:07:27 PM,30.9,20, -OL, -OL
5/3/24,2:07:37 PM,30.9,20, -OL, -OL
5/3/24,2:07:47 PM,30.9,19.9, -OL, -OL
5/3/24,2:07:57 PM,31,19.9, -OL, -OL
5/3/24,2:08:07 PM,31,19.9, -OL, -OL
5/3/24,2:08:17 PM,31,19.7, -OL, -OL
5/3/24,2:08:27 PM,31.1,19.7, -OL, -OL
5/3/24,2:08:37 PM,31.1,19.7, -OL, -OL
5/3/24,2:08:47 PM,31.1,19.7, -OL, -OL
5/3/24,2:08:57 PM,31.2,19.7, -OL, -OL
5/3/24,2:09:07 PM,31.2,19.7, -OL, -OL
5/3/24,2:09:17 PM,31.2,19.7, -OL, -OL
5/3/24,2:09:27 PM,31.3,19.7, -OL, -OL
5/3/24,2:09:37 PM,31.3,19.7, -OL, -OL
5/3/24,2:09:47 PM,31.3,19.7, -OL, -OL
5/3/24,2:09:57 PM,31.5,19.7, -OL, -OL
5/3/24,2:10:07 PM,31.5,19.7, -OL, -OL
5/3/24,2:10:17 PM,31.5,19.9, -OL, -OL
