18/03/2024,2:56:50 PM,19.3,19.2, -OL, -OL
18/03/2024,2:57:00 PM,19.2,19.1, -OL, -OL
18/03/2024,2:57:10 PM,19.7,19.1, -OL, -OL
18/03/2024,2:57:20 PM,20.2,19.1, -OL, -OL
18/03/2024,2:57:30 PM,20.6,19.1, -OL, -OL
18/03/2024,2:57:40 PM,21.1,19.1, -OL, -OL
18/03/2024,2:57:50 PM,21.2,19.1, -OL, -OL
18/03/2024,2:58:00 PM,21.6,19.0, -OL, -OL
18/03/2024,2:58:10 PM,21.8,19.0, -OL, -OL
18/03/2024,2:58:20 PM,22.1,19.0, -OL, -OL
18/03/2024,2:58:30 PM,22.2,19.0, -OL, -OL
18/03/2024,2:58:40 PM,22.3,19.0, -OL, -OL
18/03/2024,2:58:50 PM,22.6,19.0, -OL, -OL
18/03/2024,2:59:00 PM,22.7,19.0, -OL, -OL
18/03/2024,2:59:10 PM,22.8,19.0, -OL, -OL
18/03/2024,2:59:20 PM,23.0,19.0, -OL, -OL
18/03/2024,2:59:30 PM,23.1,19.0, -OL, -OL
18/03/2024,2:59:40 PM,23.2,19.0, -OL, -OL
18/03/2024,2:59:50 PM,23.4,19.0, -OL, -OL
18/03/2024,3:00:00 PM,23.5,19.0, -OL, -OL
18/03/2024,3:00:10 PM,23.6,19.0, -OL, -OL
18/03/2024,3:00:20 PM,23.6,19.1, -OL, -OL
18/03/2024,3:00:30 PM,23.7,19.1, -OL, -OL
18/03/2024,3:00:40 PM,23.9,19.1, -OL, -OL
18/03/2024,3:00:50 PM,23.9,19.1, -OL, -OL
18/03/2024,3:01:00 PM,24.0,19.1, -OL, -OL
18/03/2024,3:01:10 PM,24.1,19.1, -OL, -OL
18/03/2024,3:01:20 PM,24.1,19.2, -OL, -OL
18/03/2024,3:01:30 PM,24.2,19.2, -OL, -OL
18/03/2024,3:01:40 PM,24.2,19.2, -OL, -OL
18/03/2024,3:01:50 PM,24.3,19.2, -OL, -OL
18/03/2024,3:02:00 PM,24.3,19.2, -OL, -OL
18/03/2024,3:02:10 PM,24.5,19.3, -OL, -OL
18/03/2024,3:02:20 PM,24.5,19.3, -OL, -OL
18/03/2024,3:02:30 PM,24.6,19.3, -OL, -OL
18/03/2024,3:02:40 PM,24.6,19.3, -OL, -OL
18/03/2024,3:02:50 PM,24.6,19.3, -OL, -OL
18/03/2024,3:03:00 PM,24.7,19.5, -OL, -OL
18/03/2024,3:03:10 PM,24.7,19.5, -OL, -OL
18/03/2024,3:03:20 PM,24.8,19.5, -OL, -OL
18/03/2024,3:03:30 PM,24.8,19.5, -OL, -OL
18/03/2024,3:03:40 PM,24.9,19.5, -OL, -OL
18/03/2024,3:03:50 PM,24.9,19.5, -OL, -OL
18/03/2024,3:04:00 PM,24.9,19.6, -OL, -OL
18/03/2024,3:04:10 PM,25.1,19.6, -OL, -OL
18/03/2024,3:04:20 PM,25.1,19.6, -OL, -OL
18/03/2024,3:04:30 PM,25.1,19.6, -OL, -OL
18/03/2024,3:04:40 PM,25.1,19.6, -OL, -OL
18/03/2024,3:04:50 PM,25.2,19.6, -OL, -OL
18/03/2024,3:05:00 PM,25.2,19.6, -OL, -OL
18/03/2024,3:05:10 PM,25.2,19.6, -OL, -OL
18/03/2024,3:05:20 PM,25.2,19.6, -OL, -OL
18/03/2024,3:05:30 PM,25.3,19.6, -OL, -OL
18/03/2024,3:05:40 PM,25.3,19.7, -OL, -OL
18/03/2024,3:05:50 PM,25.3,19.7, -OL, -OL
18/03/2024,3:06:00 PM,25.3,19.7, -OL, -OL
18/03/2024,3:06:10 PM,25.4,19.7, -OL, -OL
18/03/2024,3:06:20 PM,25.4,19.7, -OL, -OL
18/03/2024,3:06:30 PM,25.4,19.7, -OL, -OL
18/03/2024,3:06:40 PM,25.4,19.7, -OL, -OL
